utr,settlement_amount,settlement_date,batch_id,payment_id_ref
6606774002055403,23096.39,2026-08-11,BATCH-20260811,pay_gWCh1Ba7mQiOj5
7115959828487319,60912.13,2026-08-20,BATCH-20260820,pay_LvNMQSOZM4OtBJ
9072630365968456,1754.46,2026-08-18,BATCH-20260818,pay_4x9XOj7h7ug0g4
5323043580360085,14873.69,2026-08-21,BATCH-20260821,pay_cvNxGRzslHon1i
8112160072310757,64378.1,2026-08-10,BATCH-20260810,pay_fnN8du9WmZIKYo
2022351267045424,23367.99,2026-08-06,BATCH-20260806,pay_ItUBY3A4Bj1BU0
6412639014340133,62005.86,2026-08-22,BATCH-20260822,pay_AQvc1v9r86eNwX
1353745430959230,78487.93,2026-08-09,BATCH-20260809,pay_i1t9vyVFgohBid
3687505606044438,57467.89,2026-08-15,BATCH-20260815,pay_kLUhY7gbtP7ySe
7214415256337440,5008.04,2026-08-18,BATCH-20260818,pay_BALznFvgQKGtn9
1253396557868692,34174.98,2026-08-21,BATCH-20260821,pay_KY6gob2I4ndZ4s
5271378313878394,39152.47,2026-08-13,BATCH-20260813,pay_uNZQ8DliS6cmX2
8677242344046319,37922.35,2026-08-11,BATCH-20260811,pay_yQE4efLerNHu9G
6572035165395750,26291.64,2026-08-07,BATCH-20260807,pay_aepZITGgrscAXC
6037373294991202,2520.42,2026-08-05,BATCH-20260805,pay_0z3CUKFNyKdPis
4680529393077746,12218.18,2026-08-14,BATCH-20260814,pay_YiUzdrORijtp0y
4464700217880840,26977.36,2026-08-19,BATCH-20260819,pay_VYJVkGBr9BY8Dz
1916768580065674,25472.99,2026-08-05,BATCH-20260805,pay_dhjkuRv630pNIh
4392810456189025,40988.53,2026-08-22,BATCH-20260822,pay_GrgmolaHr8IRh1
9614356428134255,38405.44,2026-08-22,BATCH-20260822,pay_wApzQlkLxQEKoN
0939577301283837,4437.32,2026-08-14,BATCH-20260814,pay_kEAWJ1fGcn13Dc
3094710455105578,59205.7,2026-08-18,BATCH-20260818,pay_q9Ew6AQOfMXSfj
5413166695413403,25683.82,2026-08-17,BATCH-20260817,pay_NLLKv0MYRsMfih
0785181933685554,50194.89,2026-08-10,BATCH-20260810,pay_rxBIZMLhfx9Iwi
8729438497285376,36903.51,2026-08-16,BATCH-20260816,pay_nrWJVEFJqH9HUV
1403237378200593,47053.81,2026-08-22,BATCH-20260822,pay_LnnBbuQzkChMby
8913923992645238,27677.3,2026-08-12,BATCH-20260812,pay_AEeppMKmgs6uMX
6079563937606335,75807.56,2026-08-12,BATCH-20260812,pay_MFCIX3BYOtDjdg
2108178803713187,79076.66,2026-08-12,BATCH-20260812,pay_fINuhR694fPFbt
2972435491803744,59031.33,2026-08-17,BATCH-20260817,pay_iekS9Y79PRIssj
0988308904077145,44245.46,2026-08-22,BATCH-20260822,pay_72qFl41sNLjVHW
8975534476163784,2351.6,2026-08-12,BATCH-20260812,pay_fZTvvWGvgSCecS
8827291492430052,74236.53,2026-08-05,BATCH-20260805,pay_Zw69CrxG7YXipN
8560763609637940,35000.43,2026-08-21,BATCH-20260821,pay_XPispjAxBLKH51
6487755943945568,12982.15,2026-08-16,BATCH-20260816,pay_JSKkMM0jQb6gbt
2525832950016740,73479.7,2026-08-08,BATCH-20260808,pay_QnuVdYXye4JSnE
9557055819015621,59761.05,2026-08-18,BATCH-20260818,pay_kEnydx9qWCA79I
1571078372078568,39449.07,2026-08-08,BATCH-20260808,pay_tazn0h6Oj5sRzD
7055721252593747,12632.29,2026-08-12,BATCH-20260812,pay_yotrCOtw2CXSVt
5468204577192955,41873.19,2026-08-22,BATCH-20260822,pay_sPHGZpvr6SgYzV
5659182871223685,69276.99,2026-08-13,BATCH-20260813,pay_tUeC99enq522wj
2908689101158233,16731.43,2026-08-09,BATCH-20260809,pay_daiNejnCdN54Oa
6566602793116079,67088.65,2026-08-16,BATCH-20260816,pay_1S8LvJnOng0wVJ
1676174774956686,53740.99,2026-08-20,BATCH-20260820,pay_Bye1UnWeNGmWv7
7476647026354547,46344.18,2026-08-06,BATCH-20260806,pay_rBUJPuEuEvqrK2
6101043582378718,38809.92,2026-08-21,BATCH-20260821,pay_uAGq8MEFd1kjV3
5811212107589443,19747.01,2026-08-14,BATCH-20260814,pay_MqfoIjzQDcrr1e
7810444769043821,77673.55,2026-08-04,BATCH-20260804,pay_uKoneNo41eoPni
4190268310679883,70411.39,2026-08-14,BATCH-20260814,pay_OHnKYaXRvj7uff
1810458697149966,29009.39,2026-08-12,BATCH-20260812,pay_eVvFQ0ub2qJ8cK
2381096748573316,55260.0,2026-08-12,BATCH-20260812,pay_ZsnWLtBPFX7TOr
1205667686355720,60718.18,2026-08-11,BATCH-20260811,pay_eILkvnU5MBn3ih
2352853686067800,7288.98,2026-08-05,BATCH-20260805,pay_V7VbeqcdWFMFzR
8979217141974672,55514.07,2026-08-11,BATCH-20260811,pay_6QjcwIAcw58cwQ
