invoice_id,recorded_amount,recorded_date,reference_id
INV-2026-0010,23932.81,2026-08-04,pay_ItUBY3A4Bj1BU0
INV-2026-0014,41979.25,2026-08-20,pay_GrgmolaHr8IRh1
INV-2026-0051,35846.41,2026-08-19,pay_XPispjAxBLK
INV-2026-0048,9089.14,2026-08-12,pay_kEAWJ1fGcn13Dc
INV-2026-0045,30466.38,2026-08-19,pay_cvNxGRzslHon1i
INV-2026-0037,13295.94,2026-08-14,pay_JSKkMM0jQb6gbt
INV-2026-0003,45314.89,2026-08-20,pay_72qFl41sNLjVHW
INV-2026-0007,56855.87,2026-08-09,pay_6QjcwIAcw58cwQ
INV-2026-0047,34271.69,2026-08-07,pay_daiNejnCdN54Oa
INV-2026-0055,12513.52,2026-08-12,pay_YiUzdrORijtp0y
INV-2026-0024,68710.21,2026-08-06,pay_1S8LvJnOng0wVJ
INV-2026-0005,61205.5,2026-08-16,pay_kEnydx9qWCA79I
INV-2026-0015,20224.31,2026-08-12,pay_MqfoIjzQDcrr1e
INV-2026-0028,81826.01,2026-08-10,pay_fINuhR694fPFbt
INV-2026-0022,65934.14,2026-08-02,pay_fnN8du9WmZIKYo
INV-2026-0053,26304.61,2026-08-15,pay_nllkv0myrsmfih
INV-2026-0030,27205.76,2026-08-05,pay_aepZITGgrscAXC
INV-2026-0026,55039.93,2026-08-12,pay_Bye1UnWeNGmWv7
INV-2026-0058,7465.17,2026-08-03,pay_V7VbeqcdWFMFzR
INV-2026-0012,58856.92,2026-08-13,pay_kLUhY7gbtP7ySe
INV-2026-0017,40402.57,2026-08-06,pay_tazn0h6Oj5sRzD
INV-2026-0044,53606.61,2026-08-20,pay_sPHGZpvr6SgYzV
INV-2026-0043,36020.58,2026-08-21,pay_Jcvd95e5bzVV8O
INV-2026-0038,37880.78,2026-08-21,pay_5XqhPx8Y7XsrSv
INV-2026-0029,76817.6,2026-08-03,pay_Zw69CrxG7YXipN
INV-2026-0008,29710.56,2026-08-10,pay_eVvFQ0ub2qJ8cK
INV-2026-0020,62384.4,2026-08-18,pay_LvNMQSOZM4OtBJ
INV-2026-0011,48191.12,2026-08-20,pay_LnnBbuQzkChMby
INV-2026-0001,72113.27,2026-08-12,pay_OHnKYaXRvj7uff
INV-2026-0052,2408.44,2026-08-10,pay-fZTvvWGvgSCecS
INV-2026-0049,60636.72,2026-08-16,pay_q9ew6aqofmxsfj
INV-2026-0040,55280.11,2026-08-22,pay_sL5uCNG3iFqYuT
INV-2026-0021,35001.0,2026-08-12,pay_KY6gob2I4ndZ4s
INV-2026-0033,60458.14,2026-08-15,pay_iekS9Y79PRIssj
INV-2026-0039,8059.43,2026-08-22,pay_gVaI5z52Dm7tO4
INV-2026-0057,62185.8,2026-08-09,pay_eILkvnU5MBn3ih
INV-2026-0046,16172.01,2026-08-10,pay_yotrCOtw2CXSVt
INV-2026-0054,37795.48,2026-08-14,nrWJVEFJqH9HUV
INV-2026-0023,38838.95,2026-08-05,pay_yQE4efLerNHu9G
INV-2026-0050,28346.28,2026-08-10,pay-AEeppMKmgs6uMX
INV-2026-0002,75255.73,2026-08-06,pay_QnuVdYXye4JSnE
INV-2026-0035,80385.02,2026-08-07,pay_i1t9vyVFgohBid
INV-2026-0041,76137.5,2026-08-21,pay_qoU7sSaOQdhtzF
INV-2026-0016,27629.42,2026-08-17,pay_VYJVkGBr9BY8Dz
INV-2026-0034,26088.68,2026-08-03,pay_dhjkuRv630pNIh
INV-2026-0059,57463.18,2026-08-17,pay_a1acw5l7cXSOnp
INV-2026-0013,47464.34,2026-08-04,pay_rBUJPuEuEvqrK2
INV-2026-0056,23654.65,2026-08-09,pay_gWCh1Ba7mQiOj5
INV-2026-0009,56595.65,2026-08-10,pay_ZsnWLtBPFX7TOr
INV-2026-0025,5129.08,2026-08-11,pay_BALznFvgQKGtn9
INV-2026-0018,1796.87,2026-08-16,pay_4x9XOj7h7ug0g4
INV-2026-0006,70951.45,2026-08-11,pay_tUeC99enq522wj
INV-2026-0004,79550.95,2026-08-02,pay_uKoneNo41eoPni
INV-2026-0031,40513.73,2026-08-11,pay_uNZQ8DliS6cmX2
INV-2026-0036,51408.12,2026-08-08,pay_rxBIZMLhfx9Iwi
INV-2026-0027,78443.24,2026-08-10,pay_MFCIX3BYOtDjdg
INV-2026-0032,64161.69,2026-08-20,pay_AQvc1v9r86eNwX
INV-2026-0019,39333.71,2026-08-20,pay_wApzQlkLxQEKoN
INV-2026-0042,44468.86,2026-08-22,pay_pU2fBReIdHFJju
