order_id,payment_id,amount,currency,status,captured_at,gateway_fee,tax
order_JhPdnFcy21VtfC,pay_wsWTpw89WTHXj5,77889.73,INR,failed,2026-08-10T12:52:04,0.0,0.0
order_r7blG4hWRnLR9m,pay_iekS9Y79PRIssj,60458.14,INR,captured,2026-08-15T20:23:46,1426.81,0.0
order_zJ9oQ0O1VfxIda,pay_kEAWJ1fGcn13Dc,9089.14,INR,partially_refunded,2026-08-12T22:34:36,107.25,0.0
order_fGxCjtu6K2jUdf,pay_BALznFvgQKGtn9,5129.08,INR,captured,2026-08-11T12:13:49,121.04,0.0
order_yqHBL3TLboP1Kb,pay_VYJVkGBr9BY8Dz,27629.42,INR,captured,2026-08-17T21:10:21,652.06,0.0
order_q2AnHTmt9OBGhn,pay_uKoneNo41eoPni,79550.95,INR,captured,2026-08-02T17:30:15,1877.4,0.0
order_EmxIOzESBkJXnc,pay_nrWJVEFJqH9HUV,37795.48,INR,captured,2026-08-14T14:06:47,891.97,0.0
order_xp07LjfP4tOPhR,pay_fINuhR694fPFbt,81826.01,INR,captured,2026-08-10T20:31:12,1931.09,0.0
order_b3HNspYzCQjzCv,pay_i1t9vyVFgohBid,80385.02,INR,captured,2026-08-07T11:55:57,1897.09,0.0
order_oQrof8VRgksbud,pay_wApzQlkLxQEKoN,39333.71,INR,captured,2026-08-20T22:51:29,928.27,0.0
order_r7blG4hWRnLR9m,pay_iekS9Y79PRIssj,60458.14,INR,captured,2026-08-15T20:23:32,1426.81,0.0
order_eZffTYIKIuhvPU,pay_1S8LvJnOng0wVJ,68710.21,INR,captured,2026-08-06T20:52:39,1621.56,0.0
order_sYwP8KXSQbD7WW,pay_JSKkMM0jQb6gbt,13295.94,INR,captured,2026-08-14T14:33:11,313.79,0.0
order_NbrnTP3fAbnFbm,pay_OHnKYaXRvj7uff,72113.27,INR,captured,2026-08-12T20:02:46,1701.88,0.0
order_VYo29GzrIKTkQI,pay_cvNxGRzslHon1i,30466.38,INR,partially_refunded,2026-08-19T16:26:26,359.5,0.0
order_Pnm4s4nlTUU4RR,pay_yotrCOtw2CXSVt,16172.01,INR,partially_refunded,2026-08-10T14:02:36,305.32,0.0
order_OWOU6mbjhPInRV,pay_kLUhY7gbtP7ySe,58856.92,INR,captured,2026-08-13T09:44:49,1389.03,0.0
order_E5GXTeLYHteOtL,pay_AQvc1v9r86eNwX,64161.69,INR,captured,2026-08-20T10:54:38,1514.21,0.0
order_2cxxUweoOgKUiv,pay_uNZQ8DliS6cmX2,40513.73,INR,captured,2026-08-11T16:25:52,956.12,0.0
order_1RDofXgwsxY2NP,pay_eILkvnU5MBn3ih,62185.77,INR,captured,2026-08-09T14:20:50,1467.59,0.0
order_7EgEKG895i1JwQ,pay_V7VbeqcdWFMFzR,7465.15,INR,captured,2026-08-03T16:39:09,176.17,0.0
order_XJUk13ZFfPliup,pay_qoU7sSaOQdhtzF,76137.5,INR,captured,2026-08-21T19:07:40,1796.84,0.0
order_CZkwPRQeNHpCq5,pay_QnuVdYXye4JSnE,75255.73,INR,captured,2026-08-06T10:16:08,1776.03,0.0
order_L0PragiqwzcdIw,pay_rxBIZMLhfx9Iwi,51408.12,INR,captured,2026-08-08T16:02:02,1213.23,0.0
order_Ze8NBQv2WNl7A4,pay_dhjkuRv630pNIh,26088.68,INR,captured,2026-08-03T09:33:02,615.69,0.0
order_4xQPHOvlHGTnab,pay_sPHGZpvr6SgYzV,53606.61,INR,partially_refunded,2026-08-20T11:13:04,1012.1,0.0
order_4sMnijULzIDHPn,pay_pU2fBReIdHFJju,44468.86,INR,captured,2026-08-22T18:13:45,1049.47,0.0
order_QnBow8w3Ndr86Z,pay_fnN8du9WmZIKYo,65934.14,INR,captured,2026-08-02T22:38:00,1556.04,0.0
order_dHnAnqZuJJEvQd,pay_gWCh1Ba7mQiOj5,23654.64,INR,captured,2026-08-09T12:05:23,558.25,0.0
order_3pKMzKG5mSoyPs,pay_tUeC99enq522wj,70951.45,INR,captured,2026-08-11T17:51:41,1674.46,0.0
